Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,GASOLINA EXTRA OXIGENADA,17880,A,CARRERA 45 No. 66-10,"CARRERA 45 No. 66-10, Medellin, Colombia","(6.26143, -75.55589)",6.26143,-75.55589
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,BIODIESEL EXTRA,9040,A,CARRERA 45 No. 66-10,"CARRERA 45 No. 66-10, Medellin, Colombia","(6.26143, -75.55589)",6.26143,-75.55589
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,GASOLINA CORRIENTE OXIGENADA,9010,A,CARRERA 45 No. 66-10,"CARRERA 45 No. 66-10, Medellin, Colombia","(6.26143, -75.55589)",6.26143,-75.55589
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,GASOLINA EXTRA OXIGENADA,19920,A,Carrera 48 No 15 sur 30,"Carrera 48 No 15 sur 30, Medellin, Colombia","(6.19221, -75.58)",6.19221,-75.58
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,BIODIESEL EXTRA,10610,A,Carrera 48 No 15 sur 30,"Carrera 48 No 15 sur 30, Medellin, Colombia","(6.19221, -75.58)",6.19221,-75.58
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,GASOLINA CORRIENTE OXIGENADA,9910,A,Carrera 48 No 15 sur 30,"Carrera 48 No 15 sur 30, Medellin, Colombia","(6.19221, -75.58)",6.19221,-75.58
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO JARDIN,ZEUSS,Carrera 51 No.73-20 San Pedro,GASOLINA CORRIENTE OXIGENADA,9410,A,Carrera 51 No.73-20 San Pedro,"Carrera 51 No.73-20 San Pedro, Medellin, Colombia","(6.26826, -75.56175)",6.26826,-75.56175
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO JARDIN,ZEUSS,Carrera 51 No.73-20 San Pedro,BIODIESEL EXTRA,9322,A,Carrera 51 No.73-20 San Pedro,"Carrera 51 No.73-20 San Pedro, Medellin, Colombia","(6.26826, -75.56175)",6.26826,-75.56175
2022,6,5,ANTIOQUIA,5001,MEDELLIN,AUTOCENTRO LA PALMA 2,TERPEL,CALLE 28 No 80A-32,GASOLINA EXTRA OXIGENADA,17462,A,CALLE 28 No 80A-32,"CALLE 28 No 80A-32, Medellin, Colombia","(6.22945, -75.60168)",6.22945,-75.60168
2022,6,5,ANTIOQUIA,5001,MEDELLIN,AUTOCENTRO LA PALMA 2,TERPEL,CALLE 28 No 80A-32,GASOLINA CORRIENTE OXIGENADA,9018,A,CALLE 28 No 80A-32,"CALLE 28 No 80A-32, Medellin, Colombia","(6.22945, -75.60168)",6.22945,-75.60168
